#Reads:	26079
#Bases:	235799893
#Max:	226030
#Min:	1
#Avg:	9041.8
#Median:	4000
#Mode:	0
#Std_Dev:	14294.2
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
112000	3	0.012%	58	0.222%	338169	0.143%	7906073	3.353%
113000	3	0.012%	55	0.211%	341106	0.145%	7567904	3.209%
114000	5	0.019%	52	0.199%	572585	0.243%	7226798	3.065%
115000	3	0.012%	47	0.180%	346660	0.147%	6654213	2.822%
116000	2	0.008%	44	0.169%	233587	0.099%	6307553	2.675%
118000	4	0.015%	42	0.161%	474083	0.201%	6073966	2.576%
120000	2	0.008%	38	0.146%	240840	0.102%	5599883	2.375%
122000	1	0.004%	36	0.138%	122854	0.052%	5359043	2.273%
123000	1	0.004%	35	0.134%	123171	0.052%	5236189	2.221%
124000	3	0.012%	34	0.130%	372666	0.158%	5113018	2.168%
126000	1	0.004%	31	0.119%	126601	0.054%	4740352	2.010%
127000	1	0.004%	30	0.115%	127580	0.054%	4613751	1.957%
128000	3	0.012%	29	0.111%	385415	0.163%	4486171	1.903%
129000	1	0.004%	26	0.100%	129388	0.055%	4100756	1.739%
130000	1	0.004%	25	0.096%	130512	0.055%	3971368	1.684%
131000	3	0.012%	24	0.092%	393339	0.167%	3840856	1.629%
132000	3	0.012%	21	0.081%	397595	0.169%	3447517	1.462%
135000	1	0.004%	18	0.069%	135047	0.057%	3049922	1.293%
139000	1	0.004%	17	0.065%	139721	0.059%	2914875	1.236%
147000	1	0.004%	16	0.061%	147675	0.063%	2775154	1.177%
149000	2	0.008%	15	0.058%	298226	0.126%	2627479	1.114%
152000	2	0.008%	13	0.050%	304536	0.129%	2329253	0.988%
158000	1	0.004%	11	0.042%	158896	0.067%	2024717	0.859%
159000	1	0.004%	10	0.038%	159581	0.068%	1865821	0.791%
162000	1	0.004%	9	0.035%	162859	0.069%	1706240	0.724%
166000	1	0.004%	8	0.031%	166762	0.071%	1543381	0.655%
174000	1	0.004%	7	0.027%	174739	0.074%	1376619	0.584%
180000	1	0.004%	6	0.023%	180383	0.076%	1201880	0.510%
183000	1	0.004%	5	0.019%	183886	0.078%	1021497	0.433%
197000	1	0.004%	4	0.015%	197098	0.084%	837611	0.355%
206000	1	0.004%	3	0.012%	206654	0.088%	640513	0.272%
207000	1	0.004%	2	0.008%	207829	0.088%	433859	0.184%
226000	1	0.004%	1	0.004%	226030	0.096%	226030	0.096%
